id;street;city;country;postalCode
1;Worchester St;London;England;W1
2;Baker St;New Hampshire;England;W1
3;Flower St;London;England;W1
4;Smith St;Manchester;England;M1
5;Main St;Liverpool;England;L1
6;Oak St;Birmingham;England;B1
7;Pine St;London;England;W1
8;Elm St;Birmingham;England;W1
9;Maple St;Liverpool;England;W1
10;Cedar St;Manchester;England;M1
11;Birch St;London;England;W1
12;Ash St;Birmingham;England;B1
13;Willow St;Liverpool;England;L1
14;Cherry St;Manchester;England;M1
15;Hazel St;London;England;W1
16;Walnut St;Birmingham;England;B1
17;Chestnut St;Liverpool;England;L1
18;Pine St;Manchester;England;M1
19;Elm St;London;England;W1
20;Maple St;Birmingham;England;B1
